,icpsr,degree,clustering,pagerank,name,name_dw,party,state
203,29740,58.62656566220605,0.0024477756151055903,0.0007106702421621167,J. SUNUNU,"SUNUNU, John E.",R,NH
204,29754,463.5777233606792,0.0033606548461714886,0.004032784347431176,J. THUNE,"THUNE, John",R,SD
205,29924,341.54101417685365,0.004726442100994427,0.0024497611729333833,T. UDALL,"UDALL, Thomas (Tom)",D,NM
206,29936,113.46127716564857,0.0028480737808034787,0.0014156026783955437,J. DeMINT,"DeMINT, James W.",R,SC
207,39310,552.4651847360697,0.0039344652373474705,0.0037896865516941058,M. CANTWELL,"CANTWELL, Maria E.",D,WA
208,40103,110.36985172303652,0.0025216729668961313,0.0010239351002703577,E. NELSON,"NELSON, Earl Benjamin (Ben)",D,NE
209,40105,485.51785200796274,0.005840623325034978,0.003740467799925017,H. CLINTON,"CLINTON, Hillary Rodham",D,NY
210,40302,159.67501859221977,0.0034494779665658927,0.0015191157412135995,N. COLEMAN,"COLEMAN, Norm",R,MN
211,40304,258.62177116716754,0.0024828736329380856,0.0020781577426209463,L. ALEXANDER,"ALEXANDER, Lamar",R,TN
212,40502,141.86257831828067,0.004672440317165223,0.0014082077763366905,B. OBAMA,"OBAMA, Barack",D,IL
213,40910,501.3869171785573,0.004583945437072844,0.0033860337513493158,M. BENNET,"BENNET, Michael F.",D,CO
214,49101,199.140295435073,0.004177040308043749,0.0016715435738966576,P. WELLSTONE,"WELLSTONE, Paul David",D,MN
215,49300,1172.0515621362088,0.00387557636120197,0.008352504963493303,D. FEINSTEIN,"FEINSTEIN, Dianne",D,CA
216,49301,110.52713186157257,0.0024112338698736423,0.0012946758434966806,P. COVERDELL,"COVERDELL, Paul",R,GA
217,49306,350.7149222438171,0.0029487427020544513,0.0033618313757905827,K. HUTCHISON,"HUTCHISON, Kathryn Ann Bailey (Kay)",R,TX
218,49307,156.38478570546278,0.002246139357388246,0.0014174149495431439,R. BENNETT,"BENNETT, Robert",R,UT
219,49308,720.1189539697075,0.003557273626854434,0.004561887564919089,P. MURRAY,"MURRAY, Patty",D,WA
220,49309,443.1080248951177,0.004462782855996019,0.00404250964800525,R. FEINGOLD,"FEINGOLD, Russell Dana",D,WI
221,49501,69.27920243999729,0.0022847695901461527,0.0009743312927306474,J. ASHCROFT,"ASHCROFT, John David",R,MO
222,49503,83.62489637297688,0.002460936546216458,0.0013584842500288122,F. THOMPSON,"THOMPSON, Fred Dalton",R,TN
223,49700,211.7406502395542,0.0022862838401229778,0.0013825050998280822,J. SESSIONS,"SESSIONS, Jefferson Beauregard III (Jeff)",R,AL
224,49701,105.74816455590147,0.0028152232853116328,0.0009831789640605763,J. CLELAND,"CLELAND, Joseph Maxwell (Max)",D,GA
225,49703,1013.6417622626548,0.004151895480891697,0.0061061505668734304,S. COLLINS,"COLLINS, Susan Margaret",R,ME
226,49704,189.90614989107445,0.0028916161511446416,0.0014632758062158057,C. HAGEL,"HAGEL, Charles Timothy (Chuck)",R,NE
227,49706,413.20095542310844,0.002635529319090438,0.003103009150268381,M. ENZI,"ENZI, Michael B.",R,WY
228,49901,164.74028050156872,0.003083749026695964,0.001452286814913901,E. BAYH,"BAYH, Evan",D,IN
229,49903,301.61163058180654,0.0030591218081982,0.0024131018681106883,G. VOINOVICH,"VOINOVICH, George Victor",R,OH
230,3255,12.052622508210742,0.0010402844509832094,0.0005744467871036432,H. FONG,"FONG, Hiram Leong",R,HI
231,8883,80.59403987313296,0.0016336133266930772,0.0013024514445478552,J. STENNIS,"STENNIS, John Cornelius",D,MS
232,10802,18.284419834551414,0.0017009668011770964,0.000512466114612217,H. BYRD,"BYRD, Harry Flood, Jr.",D,VA
233,14906,50.95565510606263,0.00172675239416177,0.0007285644466247176,M. MATTINGLY,"MATTINGLY, Mack Francis",R,GA
234,10630,37.27178139048848,0.0018592330044722323,0.0008872099584306748,R. TAFT,"TAFT, Robert, Jr.",R,OH
235,10736,77.92063349581726,0.0019757033717429442,0.001526684227206356,W. HATHAWAY,"HATHAWAY, William Dodd",D,ME
236,11201,69.78618978096434,0.0019187718457784589,0.0009772645134263362,E. BROOKE,"BROOKE, Edward William, III",R,MA
237,14516,16.653231327496034,0.001898751357053969,0.0004524909058246842,M. HUMPHREY,"HUMPHREY, Muriel Buck",D,MN
238,11048,12.197472277464534,0.001463047022738065,0.000504241220927725,W. SCOTT,"SCOTT, William Lloyd",R,VA
239,13100,38.67271092770318,0.001459214272060707,0.0008044417288700654,J. BUCKLEY,"BUCKLEY, James Lane",R,NY
240,10571,44.65118208674709,0.001482577723982475,0.0007027747294188029,W. BROCK,"BROCK, William Emerson, III",R,TN
241,12002,41.915553903665,0.0016398426360938244,0.0009042195694956155,J. BEALL,"BEALL, John Glenn, Jr.",R,MD
242,14913,85.00573067418068,0.0021113985908917388,0.0008635923275343046,J. HECHT,"HECHT, Jacob Chic",R,NV
243,14651,434.4090761517463,0.003488365291614641,0.0035444326948853404,C. NELSON,"NELSON, Clarence William (Bill)",D,FL
244,14809,331.75053003430816,0.0029346395796142457,0.0024404921668538058,L. CRAIG,"CRAIG, Larry Edwin",R,ID
245,14826,214.77088975019683,0.002470248767203596,0.002078094221620924,J. GREGG,"GREGG, Judd Alan",R,NH
246,14852,314.3958267300294,0.002616395865270791,0.0021460073310238066,C. ROBERTS,"ROBERTS, Charles Patrick (Pat)",R,KS
247,14909,47.15458176890637,0.002042360950390505,0.0005449931893236935,W. RUDMAN,"RUDMAN, Warren Bruce",R,NH
248,15037,207.11902888518273,0.002423894694374775,0.0023397111079603754,C. MACK,"MACK, Connie, III",R,FL
249,15407,240.94651907051087,0.0031065093226812397,0.002758244666512545,B. CAMPBELL,"CAMPBELL, Ben Nighthorse",R,CO
250,15429,264.33152025122234,0.002880230393167093,0.0024823475388217014,J. KYL,"KYL, Jon Llewellyn",R,AZ
251,15633,178.9689742830344,0.0026340790190576683,0.0016943383157424963,C. THOMAS,"THOMAS, Craig Lyle",R,WY
252,29108,209.85085856389475,0.0029414598892625854,0.002044762119255404,A. ALLARD,"ALLARD, A. Wayne",R,CO
253,29147,469.10577222006975,0.0059437147230823485,0.0024542415465195868,B. SANDERS,"SANDERS, Bernard",D,VT
254,29367,82.77255451081874,0.0024674844153482005,0.0010323273952648083,R. GRAMS,"GRAMS, Rod",R,MN
255,29373,758.6753256504417,0.005212344314996608,0.006535980024055433,R. MENENDEZ,"MENENDEZ, Robert",D,NJ
256,29512,170.96684591503686,0.002545262603564254,0.0009324315741382218,S. CHAMBLISS,"CHAMBLISS, Saxby",R,GA
257,29537,239.19324926326271,0.003074488133458895,0.0020973570380923554,J. ENSIGN,"ENSIGN, John Eric",R,NV
258,29566,317.13395591575835,0.002578825903544101,0.0021659588184696154,L. GRAHAM,"GRAHAM, Lindsey O.",R,SC
259,29732,631.8429189974411,0.004154060078622272,0.004109334517685013,D. STABENOW,"STABENOW, Deborah Ann",D,MI
260,29906,141.55868442191064,0.002804839518824792,0.0013828059729974604,M. UDALL,"UDALL, Mark",D,CO
261,40101,103.00289120505438,0.0034122739570982327,0.0006010144303576143,M. DAYTON,"DAYTON, Mark",D,MN
262,40102,27.592813248655887,0.0021758868670383926,0.0005335757490290112,J. CARNAHAN,"CARNAHAN, Jean",D,MO
263,40104,196.75980952237518,0.004879590085654956,0.001822338905354949,J. CORZINE,"CORZINE, Jon Stevens",D,NJ
264,40300,696.8602588779135,0.0037593404103337404,0.0037535374312525362,L. MURKOWSKI,"MURKOWSKI, Lisa",R,AK
265,40301,192.69105459978027,0.002826124090791368,0.0016759356000526993,M. PRYOR,"PRYOR, Mark",D,AR
266,40303,60.69107993362435,0.002416816781176827,0.0006698191444654241,E. DOLE,"DOLE, Elizabeth Hanford",R,NC
267,40305,874.2117239544679,0.004716375391169368,0.006575365832324307,J. CORNYN,"CORNYN, John",R,TX
268,40500,133.58751789520065,0.0028053031288268067,0.0012385378030211316,K. SALAZAR,"SALAZAR, Kenneth Lee",D,CO
269,40700,1028.0993489373957,0.006750662728736528,0.007527335081568111,A. KLOBUCHAR,"KLOBUCHAR, Amy",D,MN
270,40702,651.0463171650965,0.004979487122205647,0.00451413796366081,J. TESTER,"TESTER, Jon",D,MT
271,40703,975.574281851806,0.006257307386928872,0.007673391092514587,R. CASEY,"CASEY, Robert (Bob), Jr.",D,PA
272,40704,630.9369423832326,0.005841754938760355,0.003659044825972056,S. WHITEHOUSE,"WHITEHOUSE, Sheldon",D,RI
273,40706,64.97309523040039,0.002250025152453434,0.0007525117641246831,J. WEBB,"WEBB, James H. (Jim)",D,VA
274,40900,286.85675965256837,0.004756262048060692,0.0015353970308204052,M. BEGICH,"BEGICH, Mark",D,AK
275,40901,23.93112049890553,0.0029195512037702488,0.0004338882417802698,E. KAUFMAN,"KAUFMAN, Edward E. (Ted)",D,DE
276,40904,293.02747277901193,0.005095266652140706,0.0017851220958495359,A. FRANKEN,"FRANKEN, Al",D,MN
277,40906,558.2888832497573,0.005215738697019757,0.0039117084374777926,J. SHAHEEN,"SHAHEEN, Jeanne",D,NH
278,40907,87.87802614470978,0.002780739072339201,0.0009497859852529821,K. HAGAN,"HAGAN, Kay",D,NC
279,40908,739.7008207334611,0.005572032556574352,0.004164698006733003,J. MERKLEY,"MERKLEY, Jeff",D,OR
280,40909,427.8410116551087,0.004611967696554588,0.0030618564664291136,M. WARNER,"WARNER, Mark",D,VA
281,40916,515.4393074185501,0.005688096082159204,0.003268739548873698,C. COONS,"COONS, Christopher A.",D,DE
282,41106,151.0175827817058,0.0031442937365110555,0.0012048567970978803,K. AYOTTE,"AYOTTE, Kelly",R,NH
283,49303,103.28394003750547,0.003162109006703866,0.000809806221115834,C. MOSELEY BRAUN,"MOSELEY BRAUN, Carol",D,IL
284,49500,142.51894316281079,0.003198961417463577,0.0016965061531303074,S. ABRAHAM,"ABRAHAM, Spencer",R,MI
285,49502,189.26098639735406,0.0031378440955664513,0.002469886846236142,W. FRIST,"FRIST, William H.",R,TN
286,49702,446.95178034847083,0.0036224853291257184,0.0029812120154751294,M. LANDRIEU,"LANDRIEU, Mary L.",D,LA
287,49705,355.55094020026263,0.003940400488871972,0.003325171207647915,G. SMITH,"SMITH, Gordon Harold",R,OR
288,49900,63.7820846061777,0.002318545328549323,0.0007881669836061114,P. FITZGERALD,"FITZGERALD, Peter G.",R,IL
289,7229,19.89618565558968,0.0018798261275597466,0.0007843778641285821,J. PASTORE,"PASTORE, John Orlando",D,RI
290,5967,26.14580714308201,0.001216717775066232,0.0006288318721097738,M. MANSFIELD,"MANSFIELD, Michael Joseph (Mike)",D,MT
291,49302,44.56661000188696,0.0017537066803027027,0.000551879667724297,D. KEMPTHORNE,"KEMPTHORNE, Dirk",R,ID
292,49304,78.10454472521543,0.002521007252429039,0.0009095290480095057,D. FAIRCLOTH,"FAIRCLOTH, Duncan McLauchlin (Lauch)",R,NC
293,15505,20.360742191506766,0.0016963961974365033,0.0004766554425443705,D. KARNES,"KARNES, David Kemp",R,NE
294,49100,35.302691834981836,0.0020062101929473573,0.0006231318328701163,J. SEYMOUR,"SEYMOUR, John",R,CA
295,10574,0.9275103980986334,0.001598570669387723,0.0003649635036496351,J. BROYHILL,"BROYHILL, James Thomas",R,NC
296,14515,5.650649350649351,0.001739490364568493,0.0003867004575224676,P. HATFIELD,"HATFIELD, Paul Gerhart",D,MT
297,29909,287.9379752606691,0.002778648331254214,0.0015412905865779733,J. ISAKSON,"ISAKSON, Johnny",R,GA
298,49902,69.70695346579956,0.002935342904951364,0.0009703296436976625,J. EDWARDS,"EDWARDS, John",D,NC
299,49905,119.01411741823037,0.0031104607327116516,0.0007353948535249459,L. CHAFEE,"CHAFEE, Lincoln Davenport",R,RI
300,29345,486.68411141796366,0.002600779474814823,0.0027798055089494227,M. CRAPO,"CRAPO, Michael Dean",R,ID
301,29555,164.4803983137157,0.002474337509610044,0.0013935633818571468,T. COBURN,"COBURN, Thomas Allen",R,OK
302,29918,332.08453526529104,0.003195340620030492,0.002876541172928504,D. VITTER,"VITTER, David",R,LA
303,40501,100.88851490061819,0.002434263206115759,0.0010177827480253058,M. MARTINEZ,"MARTINEZ, Melquiades R. (Mel)",R,FL
304,40701,243.54377520409633,0.0030680828338471274,0.0018612457400183952,C. McCASKILL,"McCASKILL, Claire",D,MO
305,40705,104.65496683813788,0.0019510320365124692,0.0009020662373631584,R. CORKER,"CORKER, Robert (Bob)",R,TN
306,40707,382.47793219437426,0.0032935969404241563,0.0030640657133585592,J. BARRASSO,"BARRASSO, John A.",R,WY
307,14247,5.944981772613351,0.0017773353802284294,0.0003992680875054128,R. KRUEGER,"KRUEGER, Robert Charles",D,TX
308,49904,82.2539366653672,0.0026716229377885237,0.0005358676259928286,Z. MILLER,"MILLER, Zell Bryan",D,GA
309,20100,146.62300184466528,0.003446508800824603,0.0019258470755479566,J. FLAKE,"FLAKE, Jeff",R,AZ
310,20101,260.8470706877962,0.0035757744858906913,0.0014189715929798868,J. BOOZMAN,"BOOZMAN, John",R,AR
311,20115,168.51821913668357,0.003944243243112112,0.0015350496784056896,M. KIRK,"KIRK, Mark Steven",R,IL
312,20146,304.66063612857727,0.004573342948634488,0.0014306195391363926,S. CAPITO,"CAPITO, Shelley Moore",R,WV
313,20713,379.8815808562522,0.0060834901668576115,0.002479207306230584,M. HIRONO,"HIRONO, Mazie",D,HI
314,20717,91.32380517367801,0.0025994276535425487,0.0009494224816026463,J. DONNELLY,"DONNELLY, Joe",D,IN
315,20730,242.66535544442394,0.003911011614179769,0.0021999008410529233,D. HELLER,"HELLER, Dean",R,NV
316,20919,433.6418561911011,0.006155229244955427,0.003083412818017466,B. CASSIDY,"CASSIDY, Bill",R,LA
317,20923,587.3758506480957,0.0067278321940189715,0.004504017744178036,G. PETERS,"PETERS, Gary C.",D,MI
318,21166,304.10601993331306,0.0046143544543716985,0.0019765580506077088,J. LANKFORD,"LANKFORD, James",R,OK
319,21301,305.45767893628033,0.004327652090108494,0.0024899089747230487,T. COTTON,"COTTON, Tom",R,AR
320,29369,52.4636642937087,0.0022035342331741922,0.0007056396554921932,J. TALENT,"TALENT, James Matthes",R,MO
321,29386,481.60919300846183,0.005231084368023523,0.003541183878757114,R. PORTMAN,"PORTMAN, Robert Jones (Rob)",R,OH
322,29534,433.9248611130722,0.0040656392170829985,0.0026952730853206913,R. WICKER,"WICKER, Roger F.",R,MS
323,29722,391.9854531128297,0.004410840536148947,0.002411545508760468,J. MORAN,"MORAN, Jerry",R,KS
324,29735,265.1141827806211,0.0038851744751945702,0.0016739338957267066,R. BLUNT,"BLUNT, Roy",R,MO
325,29935,186.5597306074446,0.0034470385599412383,0.0018573907143442155,P. TOOMEY,"TOOMEY, Patrick Joseph",R,PA
326,40902,315.69435045585874,0.0034554160592605173,0.0017917523414329422,J. RISCH,"RISCH, James",R,ID
327,40905,82.10020803462557,0.002154694247906767,0.0008011041208238138,M. JOHANNS,"JOHANNS, Mike",R,NE
328,40911,19.68827326055587,0.0017757137429497416,0.0004001946170192766,G. LEMIEUX,"LEMIEUX, George S.",R,FL
329,40915,342.7489482038728,0.004476419824501126,0.0022080464800497144,J. MANCHIN,"MANCHIN, Joe, III",D,WV
330,41101,880.454963902477,0.007580890566084874,0.0049393466800271854,R. BLUMENTHAL,"BLUMENTHAL, Richard",D,CT
331,41102,851.1838953270523,0.00685263711206745,0.006361008441979772,M. RUBIO,"RUBIO, Marco",R,FL
332,41104,241.78579561096376,0.0036417421096147035,0.0021769629405761644,R. PAUL,"PAUL, Rand",R,KY
333,41107,230.37243975207127,0.0031714018325587918,0.0017224102939819013,J. HOEVEN,"HOEVEN, John",R,ND
334,41110,459.8198873031741,0.004637483096879212,0.004089732941687434,M. LEE,"LEE, Mike",R,UT
335,41111,195.89301364061228,0.0034911976455342087,0.0016987582659778355,R. JOHNSON,"JOHNSON, Ron",R,WI
336,41112,448.5789532291342,0.006080841535704123,0.003226564266615097,B. SCHATZ,"SCHATZ, Brian Emanuel",D,HI
337,41302,237.22779277863071,0.003954704412719118,0.001957879679391796,D. FISCHER,"FISCHER, Debra (Deb)",R,NE
338,41303,137.11921572609356,0.003452395916802385,0.0009996483659931922,M. HEITKAMP,"HEITKAMP, Mary Kathryn (Heidi)",D,ND
339,41304,457.9470421831129,0.005128453962984863,0.0039306340626903144,R. CRUZ,"CRUZ, Rafael Edward (Ted)",R,TX
340,41305,325.80655851936604,0.004637819161096786,0.0021542387815514223,T. KAINE,"KAINE, Timothy Michael (Tim)",D,VA
341,41308,643.3853297561311,0.007624046187503115,0.00428411902945378,C. BOOKER,"BOOKER, Cory Anthony",D,NJ
342,41501,106.60557292515297,0.003150081460748922,0.0007222440445237534,D. PERDUE,"PERDUE, David Alfred, Jr.",R,GA
343,41703,213.059479053275,0.0040332551980660734,0.0016973181343853162,J. KENNEDY,"KENNEDY, John Neely",R,LA
344,20930,380.77350328931027,0.005167046489694712,0.002327299729379583,M. HEINRICH,"HEINRICH, Martin",D,NM
345,14435,669.8215742632951,0.007156231206616281,0.0046232630315158115,E. MARKEY,"MARKEY, Edward John",D,MA
346,20330,368.81454846678133,0.00644456744300618,0.0020108703356675915,C. VAN HOLLEN,"VAN HOLLEN, Christopher",D,MD
347,20351,347.6507595093694,0.005675344898776168,0.0019779834848229058,M. BLACKBURN,"BLACKBURN, Marsha",R,TN
348,20932,222.41719410799635,0.00570959718715008,0.0014571412108909875,B. LUJÁN,"LUJÁN, Ben Ray",D,NM
349,21112,203.21143584791992,0.004192775422072036,0.0016874322192270432,C. GARDNER,"GARDNER, Cory",R,CO
350,21133,277.7818848397829,0.005193220110536234,0.0018659609291646836,T. YOUNG,"YOUNG, Todd",R,IN
351,21173,264.1871517018525,0.004357822928754512,0.001948323120455564,T. SCOTT,"SCOTT, Tim",R,SC
352,21300,245.72541713390476,0.005001892380718239,0.0009953919087359348,K. SINEMA,"SINEMA, Kyrsten",D,AZ
353,21325,387.7128715346215,0.006625276460074228,0.0027658457219508106,T. DUCKWORTH,"DUCKWORTH, Tammy",D,IL
354,21338,354.2454026492048,0.005084226976151467,0.0025886282101073,S. DAINES,"DAINES, Steve",R,MT
355,21350,212.10157441734168,0.004039585527952937,0.0008104839554959253,K. CRAMER,"CRAMER, Kevin",R,ND
356,21355,35.16026526968342,0.002360393088755358,0.0005341836723913962,M. MULLIN,"MULLIN, Markwayne",R,OK
357,21708,81.2235701364713,0.0035467942456291167,0.0006643810381970841,T. BUDD,"BUDD, Theodore Paul",R,NC
358,21734,194.85602344541542,0.004584611204259223,0.001395502194681743,R. MARSHALL,"MARSHALL, Roger Wayne",R,KS
359,21743,286.61022881285567,0.0059208291323231375,0.0019210372660834745,J. ROSEN,"ROSEN, Jacklyn Sheryl",D,NV
360,29940,486.2219875464868,0.006290997923464589,0.003124929916471677,T. BALDWIN,"BALDWIN, Tammy",D,WI
361,41300,338.7724550840644,0.005425241179787376,0.0014968116036412449,A. KING,"KING, Angus Stanley, Jr.",D,ME
362,41301,640.8140806354547,0.0070744236046135596,0.003833122671323136,E. WARREN,"WARREN, Elizabeth",D,MA
363,41500,357.0703107830161,0.004385487987540177,0.0020637114820293272,D. SULLIVAN,"SULLIVAN, Daniel Scott",R,AK
364,41502,345.87255435479244,0.004749056792440764,0.002327568614788945,J. ERNST,"ERNST, Joni",R,IA
365,41503,50.904441180183525,0.0024783802548141907,0.000588263788767938,B. SASSE,"SASSE, Benjamin Eric",R,NE
366,41504,366.07307721929124,0.005209779003177755,0.0017439497228428893,T. TILLIS,"TILLIS, Thomas Roland (Thom)",R,NC
367,41505,266.63542501074414,0.004578956607691268,0.0017932064841283256,M. ROUNDS,"ROUNDS, Marion Michael (Mike)",R,SD
368,41700,381.0842852000753,0.006564077036831792,0.0030687541834682943,C. CORTEZ MASTO,"CORTEZ MASTO, Catherine Marie",D,NV
369,41702,411.10234444859964,0.005883730670792064,0.0023994159964614106,M. HASSAN,"HASSAN, Margaret (Maggie)",D,NH
370,41706,407.4028682933704,0.007283183255075269,0.002334133896814,T. SMITH,"SMITH, Tina",D,MN
371,41707,113.29128672149704,0.003383740993792234,0.0006480707268283818,C. HYDE-SMITH,"HYDE-SMITH, Cindy",R,MS
372,41900,447.2548461786337,0.006267916010046739,0.002377486002719874,M. BRAUN,"BRAUN, Michael",R,IN
373,41901,126.00230135563424,0.004049698375715356,0.0008676082344952147,J. HAWLEY,"HAWLEY, Joshua David",R,MO
374,41903,356.8050493161211,0.005624150474297786,0.0020409933258770043,R. SCOTT,"SCOTT, Richard Lynn (Rick)",R,FL
375,41905,152.86788459136622,0.004320339957195475,0.001054748033455818,M. KELLY,"KELLY, Mark Edward",D,AZ
376,42100,98.91670616497817,0.0036945291949385226,0.000743381308504437,W. HAGERTY,"HAGERTY, William Francis (Bill)",R,TN
377,42103,140.3978405190628,0.0043908576328040684,0.0012696776760710898,T. OSSOFF,"OSSOFF, Thomas Jonathan (Jon)",D,GA
378,42105,143.8307770929658,0.004067069855143665,0.0011282675327393755,R. WARNOCK,"WARNOCK, Raphael Gamaliel",D,GA
379,42300,41.74198006182357,0.0021800556108368192,0.0005422684162254662,K. BRITT,"BRITT, Katie Elizabeth",R,AL
380,42302,45.75940078030433,0.002790715394944786,0.0005526718653947073,J. RICKETTS,"RICKETTS, John Peter (Pete)",R,NE
381,20707,313.7384782211626,0.005464219362473119,0.0020150314587648903,C. MURPHY,"MURPHY, Christopher",D,CT
382,20750,135.9047551569742,0.0055873589827893045,0.0011002884041953248,P. WELCH,"WELCH, Peter",D,VT
383,21501,88.91091682274146,0.002853849755257158,0.0007482358094749497,M. McSALLY,"McSALLY, Martha",R,AZ
384,41309,30.154216161599713,0.0022320934772436973,0.0004951010972030775,J. WALSH,"WALSH, John E.",D,MT
385,41701,173.66066775774442,0.006699372434060733,0.0013496340254015831,K. HARRIS,"HARRIS, Kamala Devi",D,CA
386,42104,274.11298123501206,0.00674006305371664,0.0017971147159742751,A. PADILLA,"PADILLA, Alejandro (Alex)",D,CA
387,42305,48.77921421461535,0.003362398137272031,0.0006376457579630817,L. BUTLER,"BUTLER, Laphonza Romanique",D,CA
388,40913,62.167984757797655,0.0027789391360059025,0.0007200875594543181,S. BROWN,"BROWN, Scott P.",R,MA
389,14514,4.416179653679653,0.001671078438426189,0.0003649635036496351,K. HODGES,"HODGES, Kaneaster, Jr.",D,AR
390,14517,0.25757575757575757,0.0006924106522655476,0.0003649635036496351,M. ALLEN,"ALLEN, Maryon Pittman",D,AL
391,41705,115.0836800059993,0.0035829985617571994,0.0007366452011932818,G. JONES,"JONES, Gordon Douglas (Doug)",D,AL
392,42102,62.722586181709886,0.003091816573286629,0.000678355728423965,T. TUBERVILLE,"TUBERVILLE, Thomas Hawley (Tommy)",R,AL
393,40903,26.65712051584914,0.002624440978998795,0.0004082095695311013,R. BURRIS,"BURRIS, Roland",D,IL
394,20953,150.18847020226747,0.004222701295353065,0.000891810382278244,C. LUMMIS,"LUMMIS, Cynthia M.",R,WY
395,42101,130.34665513671507,0.004510178184944163,0.001034525755732605,J. HICKENLOOPER,"HICKENLOOPER, John Wright",D,CO
396,42303,40.14993379237086,0.0024248171352276647,0.0005471815317522865,E. SCHMITT,"SCHMITT, Eric Stephen",R,MO
397,14911,0.21428571428571427,0.0017428617843896418,0.0003649635036496351,N. BRADY,"BRADY, Nicholas Frederick",R,NJ
398,42304,55.25379321834296,0.0032631795722900046,0.0006212719818333376,J. VANCE,"VANCE, James David",R,OH
399,41704,9.67660562971675,0.002433401678171679,0.00040837155345621715,L. STRANGE,"STRANGE, Luther  Johnson, III",R,AL
400,41904,42.070800392044504,0.003498978414830962,0.0005680682385905082,K. LOEFFLER,"LOEFFLER, Kelly",R,GA
401,41902,96.79586926018747,0.0038397108721176096,0.0009255674099799915,W. ROMNEY,"ROMNEY, Willard Mitt (Mitt)",R,UT
402,21937,1.3333333333333333,0.006353934228661023,0.0003649635036496351,A. KIM,"KIM, Andy",D,NJ
403,40912,15.074238669826903,0.00482058625262837,0.0003649635036496351,P. KIRK,"KIRK, Paul G., Jr.",D,MA
404,40914,1.476190476190476,0.004443320787537334,0.0003649635036496351,C. GOODWIN,"GOODWIN, Carte P.",D,WV
405,41306,4.623439483222092,0.0029020300547164396,0.0003649635036496351,W. COWAN,"COWAN, William (Mo)",D,MA
406,41307,1.1333333333333333,0.002502251625583507,0.0003649635036496351,J. CHIESA,"CHIESA, Jeffrey Scott",R,NJ
407,42306,6.172998200629779,0.003309195052829635,0.00040002862626457045,G. HELMY,"HELMY, George S.",D,NJ
408,49103,0.125,0.0,0.0003649635036496351,J. BURDICK,"BURDICK, Jocelyn Birch",D,ND
409,49305,10.970827810633297,0.001855171871169935,0.0003649635036496351,H. MATHEWS,"MATHEWS, Harlan",D,TN
410,49504,0.8409090909090909,0.001970246619796697,0.0003649635036496351,S. FRAHM,"FRAHM, Sheila",R,KS
